%     time           SZ11           SZ12           SZ13           SZ22           SZ23           SZ33
         0     4.5489e-07              0              0     5.3684e-07              0     1.0223e-06
    0.0002     4.8813e-07              0              0     5.7724e-07              0      1.211e-06
    0.0004     4.8963e-07              0              0     5.8583e-07              0     1.3249e-06
    0.0006     4.5581e-07              0              0     5.5904e-07              0     1.3459e-06
    0.0008     3.8513e-07              0              0     4.9534e-07              0     1.2606e-06
     0.001     2.7848e-07              0              0     3.9558e-07              0     1.0614e-06
    0.0012     1.3934e-07              0              0     2.6328e-07              0     7.4799e-07
    0.0014     -2.608e-08              0              0     1.0463e-07              0     3.2825e-07
    0.0016    -2.0896e-07              0              0    -7.1554e-08              0    -1.8136e-07
    0.0018    -3.9813e-07              0              0    -2.5411e-07              0    -7.5571e-07
     0.002    -5.8059e-07              0              0    -4.3001e-07              0    -1.3617e-06
    0.0022     -7.421e-07              0              0    -5.8505e-07              0    -1.9596e-06
    0.0024    -8.6809e-07              0              0    -7.0463e-07              0    -2.5049e-06
    0.0026    -9.4456e-07              0              0    -7.7477e-07              0    -2.9507e-06
    0.0028    -9.5917e-07              0              0    -7.8313e-07              0    -3.2509e-06
     0.003    -9.0234e-07              0              0    -7.2012e-07              0    -3.3637e-06
    0.0032     -7.683e-07              0              0    -5.7998e-07              0    -3.2549e-06
    0.0034    -5.5603e-07              0              0     -3.617e-07              0     -2.902e-06
    0.0036    -2.7006e-07              0              0    -6.9818e-08              0    -2.2968e-06
    0.0038      7.903e-08              0              0      2.851e-07              0    -1.4492e-06
     0.004     4.7448e-07              0              0     6.8627e-07              0    -3.8837e-07
    0.0042     8.9353e-07              0              0     1.1109e-06              0     8.3553e-07
    0.0044     1.3081e-06              0              0      1.531e-06              0     2.1521e-06
    0.0046     1.6861e-06              0              0     1.9143e-06              0     3.4725e-06
    0.0048     1.9927e-06              0              0     2.2261e-06              0     4.6923e-06
     0.005     2.1929e-06              0              0     2.4313e-06              0     5.6974e-06
    0.0052     2.2535e-06              0              0     2.4968e-06              0     6.3701e-06
    0.0054     2.1464e-06              0              0     2.3943e-06              0     6.5977e-06
    0.0056      1.851e-06              0              0     2.1033e-06              0     6.2817e-06
    0.0058     1.3576e-06              0              0     1.6141e-06              0     5.3483e-06
     0.006     6.7004e-07              0              0     9.3038e-07              0     3.7585e-06
    0.0062     -1.922e-07              0              0     7.1755e-08              0     1.5184e-06
    0.0064    -1.1919e-06              0              0    -9.2463e-07              0    -1.3117e-06
    0.0066    -2.2734e-06              0              0    -2.0032e-06              0    -4.6109e-06
    0.0068    -3.3629e-06              0              0      -3.09e-06              0     -8.193e-06
     0.007    -4.3702e-06              0              0     -4.095e-06              0    -1.1807e-05
    0.0072    -5.1914e-06              0              0    -4.9143e-06              0    -1.5142e-05
    0.0074    -5.7146e-06              0              0     -5.436e-06              0    -1.7837e-05
    0.0076    -5.8258e-06              0              0    -5.5461e-06              0    -1.9497e-05
    0.0078    -5.4183e-06              0              0    -5.1379e-06              0     -1.972e-05
     0.008    -4.4027e-06              0              0    -4.1219e-06              0    -1.8126e-05
    0.0082    -2.7191e-06              0              0    -2.4384e-06              0    -1.4397e-05
    0.0084    -3.5138e-07              0              0    -7.1095e-08              0    -8.3243e-06
    0.0086     2.6585e-06              0              0     2.9379e-06              0     1.3878e-07
    0.0088      6.194e-06              0              0     6.4723e-06              0     1.0814e-05
     0.009     1.0049e-05              0              0     1.0325e-05              0     2.3234e-05
    0.0092      1.391e-05              0              0     1.4184e-05              0     3.6573e-05
    0.0094     1.7343e-05              0              0     1.7616e-05              0     4.9575e-05
    0.0096     1.9781e-05              0              0     2.0051e-05              0     6.0483e-05
    0.0098     2.0511e-05              0              0     2.0778e-05              0      6.697e-05
      0.01     1.8667e-05              0              0     1.8932e-05              0     6.6079e-05
    0.0102      1.323e-05              0              0     1.3493e-05              0     5.4168e-05
    0.0104     3.0261e-06              0              0     3.2853e-06              0     2.6871e-05
    0.0106    -1.3267e-05              0              0     -1.301e-05              0    -2.0936e-05
    0.0108    -3.7102e-05              0              0    -3.6849e-05              0    -9.5137e-05
     0.011    -7.0048e-05              0              0    -6.9798e-05              0    -0.00020237
    0.0112    -0.00011376              0              0    -0.00011351              0    -0.00034999
    0.0114    -0.00016994              0              0     -0.0001697              0    -0.00054602
    0.0116    -0.00024032              0              0    -0.00024008              0    -0.00079905
    0.0118    -0.00032657              0              0    -0.00032633              0     -0.0011182
     0.012     -0.0004303              0              0    -0.00043006              0     -0.0015127
    0.0122    -0.00055294              0              0    -0.00055271              0     -0.0019924
    0.0124    -0.00069574              0              0    -0.00069551              0     -0.0025666
    0.0126    -0.00085966              0              0    -0.00085942              0     -0.0032448
    0.0128     -0.0010453              0              0     -0.0010451              0     -0.0040358
     0.013     -0.0012529              0              0     -0.0012526              0     -0.0049479
    0.0132     -0.0014821              0              0     -0.0014819              0     -0.0059885
    0.0134     -0.0017322              0              0      -0.001732              0     -0.0071635
    0.0136     -0.0020017              0              0     -0.0020015              0     -0.0084778
    0.0138     -0.0022886              0              0     -0.0022884              0     -0.0099345
     0.014     -0.0025902              0              0       -0.00259              0      -0.011535
    0.0142     -0.0029031              0              0     -0.0029029              0      -0.013278
    0.0144     -0.0032231              0              0     -0.0032229              0      -0.015161
    0.0146     -0.0035454              0              0     -0.0035452              0      -0.017178
    0.0148     -0.0038644              0              0     -0.0038642              0      -0.019321
     0.015     -0.0041741              0              0     -0.0041738              0      -0.021581
    0.0152     -0.0044676              0              0     -0.0044673              0      -0.023944
    0.0154     -0.0047376              0              0     -0.0047374              0      -0.026396
    0.0156     -0.0049765              0              0     -0.0049763              0      -0.028919
    0.0158     -0.0051763              0              0      -0.005176              0      -0.031493
     0.016     -0.0053286              0              0     -0.0053284              0      -0.034097
    0.0162     -0.0054254              0              0     -0.0054252              0      -0.036708
    0.0164     -0.0054584              0              0     -0.0054582              0      -0.039302
    0.0166     -0.0054198              0              0     -0.0054195              0      -0.041854
    0.0168      -0.005302              0              0     -0.0053017              0      -0.044338
     0.017     -0.0050981              0              0     -0.0050979              0      -0.046727
    0.0172     -0.0048022              0              0     -0.0048019              0      -0.048998
    0.0174     -0.0044088              0              0     -0.0044086              0      -0.051123
    0.0176     -0.0039141              0              0     -0.0039138              0      -0.053081
    0.0178     -0.0033149              0              0     -0.0033147              0      -0.054849
     0.018     -0.0026098              0              0     -0.0026096              0      -0.056406
    0.0182     -0.0017987              0              0     -0.0017985              0      -0.057736
    0.0184    -0.00088305              0              0    -0.00088287              0      -0.058822
    0.0186      0.0001341              0              0     0.00013427              0      -0.059654
    0.0188       0.001248              0              0      0.0012482              0      -0.060221
     0.019      0.0024523              0              0      0.0024525              0      -0.060519
    0.0192       0.003739              0              0      0.0037392              0      -0.060544
    0.0194      0.0050985              0              0      0.0050987              0      -0.060298
    0.0196      0.0065197              0              0      0.0065198              0      -0.059784
    0.0198      0.0079901              0              0      0.0079902              0       -0.05901
      0.02       0.009496              0              0       0.009496              0      -0.057987
    0.0202       0.011022              0              0       0.011022              0      -0.056727
    0.0204       0.012554              0              0       0.012554              0      -0.055245
    0.0206       0.014074              0              0       0.014074              0      -0.053559
    0.0208       0.015565              0              0       0.015565              0      -0.051687
     0.021       0.017011              0              0       0.017011              0      -0.049651
    0.0212       0.018395              0              0       0.018395              0       -0.04747
    0.0214       0.019699              0              0       0.019699              0      -0.045167
    0.0216       0.020907              0              0       0.020907              0      -0.042762
    0.0218       0.022005              0              0       0.022005              0      -0.040277
     0.022       0.022977              0              0       0.022977              0      -0.037732
    0.0222       0.023811              0              0       0.023811              0      -0.035144
    0.0224       0.024494              0              0       0.024494              0      -0.032533
    0.0226       0.025017              0              0       0.025017              0      -0.029913
    0.0228       0.025372              0              0       0.025372              0      -0.027299
     0.023       0.025552              0              0       0.025552              0      -0.024703
    0.0232       0.025553              0              0       0.025553              0      -0.022135
    0.0234       0.025373              0              0       0.025372              0      -0.019602
    0.0236       0.025011              0              0       0.025011              0      -0.017111
    0.0238       0.024471              0              0       0.024471              0      -0.014666
     0.024       0.023756              0              0       0.023756              0      -0.012271
    0.0242       0.022873              0              0       0.022873              0     -0.0099253
    0.0244        0.02183              0              0        0.02183              0     -0.0076305
    0.0246       0.020637              0              0       0.020637              0     -0.0053854
    0.0248       0.019307              0              0       0.019306              0     -0.0031888
     0.025       0.017852              0              0       0.017851              0     -0.0010392
    0.0252       0.016287              0              0       0.016287              0      0.0010652
    0.0254       0.014628              0              0       0.014628              0      0.0031256
    0.0256       0.012892              0              0       0.012892              0       0.005143
    0.0258       0.011096              0              0       0.011096              0      0.0071174
     0.026      0.0092576              0              0      0.0092575              0      0.0090482
    0.0262      0.0073948              0              0      0.0073947              0       0.010933
    0.0264      0.0055254              0              0      0.0055252              0        0.01277
    0.0266      0.0036666              0              0      0.0036665              0       0.014555
    0.0268      0.0018356              0              0      0.0018354              0       0.016282
     0.027      4.828e-05              0              0     4.8118e-05              0       0.017946
    0.0272       -0.00168              0              0     -0.0016802              0       0.019538
    0.0274     -0.0033352              0              0     -0.0033353              0       0.021052
    0.0276     -0.0049044              0              0     -0.0049046              0       0.022478
    0.0278     -0.0063763              0              0     -0.0063765              0       0.023808
     0.028     -0.0077409              0              0     -0.0077411              0       0.025033
    0.0282     -0.0089899              0              0     -0.0089901              0       0.026143
    0.0284      -0.010116              0              0      -0.010117              0        0.02713
    0.0286      -0.011116              0              0      -0.011116              0       0.027987
    0.0288      -0.011984              0              0      -0.011984              0       0.028705
     0.029      -0.012719              0              0      -0.012719              0       0.029279
    0.0292      -0.013322              0              0      -0.013322              0       0.029704
    0.0294      -0.013793              0              0      -0.013793              0       0.029977
    0.0296      -0.014135              0              0      -0.014135              0       0.030097
    0.0298      -0.014353              0              0      -0.014353              0       0.030063
      0.03      -0.014451              0              0      -0.014451              0       0.029877
    0.0302      -0.014436              0              0      -0.014436              0       0.029544
    0.0304      -0.014315              0              0      -0.014316              0       0.029067
    0.0306      -0.014098              0              0      -0.014098              0       0.028454
