%     time            T11            T12            T13            T21            T22            T23            T31            T32            T33
         0    -4.5454e-07    -9.3115e-22     4.5489e-07              0    -4.5454e-07     1.0737e-06    -1.5151e-07    -3.0303e-07     3.0669e-06
    0.0002    -7.8346e-07    -2.0259e-21     4.8813e-07              0    -7.8346e-07     1.1545e-06    -2.6115e-07    -5.2231e-07     3.6331e-06
    0.0004     -1.081e-06    -4.0875e-21     4.8963e-07              0     -1.081e-06     1.1717e-06    -3.6033e-07    -7.2066e-07     3.9747e-06
    0.0006    -1.3238e-06    -7.4407e-21     4.5581e-07              0    -1.3238e-06     1.1181e-06    -4.4127e-07    -8.8254e-07     4.0377e-06
    0.0008    -1.4903e-06    -1.2466e-20     3.8513e-07              0    -1.4903e-06     9.9067e-07    -4.9675e-07     -9.935e-07     3.7818e-06
     0.001     -1.562e-06      -1.96e-20     2.7848e-07              0     -1.562e-06     7.9117e-07    -5.2067e-07    -1.0413e-06     3.1842e-06
    0.0012    -1.5254e-06    -2.9342e-20     1.3934e-07              0    -1.5254e-06     5.2656e-07    -5.0848e-07     -1.017e-06      2.244e-06
    0.0014     -1.373e-06    -4.2243e-20     -2.608e-08              0     -1.373e-06     2.0925e-07    -4.5767e-07    -9.1535e-07     9.8474e-07
    0.0016    -1.1043e-06    -5.8917e-20    -2.0896e-07              0    -1.1043e-06    -1.4311e-07    -3.6811e-07    -7.3622e-07    -5.4407e-07
    0.0018    -7.2667e-07    -8.0023e-20    -3.9813e-07              0    -7.2667e-07    -5.0821e-07    -2.4222e-07    -4.8445e-07    -2.2671e-06
     0.002     -2.553e-07    -1.0627e-19    -5.8059e-07              0     -2.553e-07    -8.6002e-07      -8.51e-08     -1.702e-07    -4.0852e-06
    0.0022     2.8685e-07    -1.3842e-19     -7.421e-07              0     2.8685e-07    -1.1701e-06     9.5618e-08     1.9124e-07    -5.8789e-06
    0.0024        8.7e-07    -1.7723e-19    -8.6809e-07              0        8.7e-07    -1.4093e-06        2.9e-07        5.8e-07    -7.5147e-06
    0.0026     1.4588e-06    -2.2351e-19    -9.4456e-07              0     1.4588e-06    -1.5495e-06     4.8628e-07     9.7256e-07     -8.852e-06
    0.0028     2.0144e-06    -2.7807e-19    -9.5917e-07              0     2.0144e-06    -1.5663e-06     6.7145e-07     1.3429e-06    -9.7527e-06
     0.003      2.496e-06     -3.417e-19    -9.0234e-07              0      2.496e-06    -1.4402e-06     8.3201e-07      1.664e-06    -1.0091e-05
    0.0032     2.8644e-06    -4.1518e-19     -7.683e-07              0     2.8644e-06      -1.16e-06     9.5482e-07     1.9096e-06    -9.7648e-06
    0.0034     3.0839e-06    -4.9924e-19    -5.5603e-07              0     3.0839e-06    -7.2341e-07      1.028e-06     2.0559e-06    -8.7059e-06
    0.0036     3.1251e-06    -5.9456e-19    -2.7006e-07              0     3.1251e-06    -1.3964e-07     1.0417e-06     2.0834e-06    -6.8904e-06
    0.0038     2.9681e-06    -7.0174e-19      7.903e-08              0     2.9681e-06      5.702e-07     9.8936e-07     1.9787e-06    -4.3475e-06
     0.004     2.6039e-06    -8.2127e-19     4.7448e-07              0     2.6039e-06     1.3725e-06     8.6796e-07     1.7359e-06    -1.1651e-06
    0.0042     2.0368e-06    -9.5355e-19     8.9353e-07              0     2.0368e-06     2.2218e-06     6.7893e-07     1.3579e-06     2.5066e-06
    0.0044     1.2852e-06    -1.0988e-18     1.3081e-06              0     1.2852e-06      3.062e-06     4.2841e-07     8.5683e-07     6.4564e-06
    0.0046      3.821e-07    -1.2572e-18     1.6861e-06              0      3.821e-07     3.8286e-06     1.2737e-07     2.5473e-07     1.0417e-05
    0.0048    -6.2593e-07    -1.4287e-18     1.9927e-06              0    -6.2593e-07     4.4522e-06    -2.0864e-07    -4.1729e-07     1.4077e-05
     0.005    -1.6799e-06     -1.613e-18     2.1929e-06              0    -1.6799e-06     4.8626e-06    -5.5996e-07    -1.1199e-06     1.7092e-05
    0.0052     -2.711e-06    -1.8097e-18     2.2535e-06              0     -2.711e-06     4.9935e-06    -9.0367e-07    -1.8073e-06      1.911e-05
    0.0054    -3.6443e-06    -2.0182e-18     2.1464e-06              0    -3.6443e-06     4.7885e-06    -1.2148e-06    -2.4295e-06     1.9793e-05
    0.0056    -4.4028e-06    -2.2377e-18      1.851e-06              0    -4.4028e-06     4.2066e-06    -1.4676e-06    -2.9352e-06     1.8845e-05
    0.0058    -4.9122e-06    -2.4672e-18     1.3576e-06              0    -4.9122e-06     3.2282e-06    -1.6374e-06    -3.2748e-06     1.6045e-05
     0.006    -5.1064e-06    -2.7053e-18     6.7004e-07              0    -5.1064e-06     1.8608e-06    -1.7021e-06    -3.4042e-06     1.1276e-05
    0.0062    -4.9328e-06    -2.9509e-18     -1.922e-07              0    -4.9328e-06     1.4351e-07    -1.6443e-06    -3.2885e-06     4.5553e-06
    0.0064    -4.3575e-06    -3.2021e-18    -1.1919e-06              0    -4.3575e-06    -1.8493e-06    -1.4525e-06     -2.905e-06    -3.9352e-06
    0.0066    -3.3703e-06    -3.4573e-18    -2.2734e-06              0    -3.3703e-06    -4.0063e-06    -1.1234e-06    -2.2469e-06    -1.3833e-05
    0.0068    -1.9879e-06    -3.7146e-18    -3.3629e-06              0    -1.9879e-06    -6.1801e-06    -6.6265e-07    -1.3253e-06    -2.4579e-05
     0.007    -2.5732e-07    -3.9719e-18    -4.3702e-06              0    -2.5732e-07      -8.19e-06    -8.5772e-08    -1.7154e-07    -3.5421e-05
    0.0072     1.7437e-06     -4.227e-18    -5.1914e-06              0     1.7437e-06    -9.8287e-06     5.8123e-07     1.1625e-06    -4.5426e-05
    0.0074     3.9067e-06    -4.4777e-18    -5.7146e-06              0     3.9067e-06    -1.0872e-05     1.3022e-06     2.6045e-06     -5.351e-05
