%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
         0    -3.5017e-15    -1.5138e-28              0              0    -3.5017e-15              0              0              0     7.7759e-15
    0.0002    -3.2195e-15    -7.0938e-29              0              0    -3.2195e-15              0              0              0     7.0956e-15
    0.0004    -2.8229e-15     7.9405e-29              0              0    -2.8229e-15              0              0              0     6.3279e-15
    0.0006    -2.3284e-15     3.2312e-28              0              0    -2.3284e-15              0              0              0     5.5282e-15
    0.0008    -1.7598e-15     6.8771e-28              0              0    -1.7598e-15              0              0              0     4.7612e-15
     0.001    -1.1474e-15     1.2048e-27              0              0    -1.1474e-15              0              0              0     4.0979e-15
    0.0012    -5.2611e-16     1.9104e-27              0              0    -5.2611e-16              0              0              0     3.6112e-15
    0.0014     6.6299e-17     2.8445e-27              0              0     6.6299e-17              0              0              0     3.3712e-15
    0.0016     5.9181e-16     4.0512e-27              0              0     5.9181e-16              0              0              0     3.4398e-15
    0.0018     1.0146e-15     5.5785e-27              0              0     1.0146e-15              0              0              0      3.865e-15
     0.002     1.3038e-15     7.4777e-27              0              0     1.3038e-15              0              0              0     4.6762e-15
    0.0022     1.4359e-15     9.8029e-27              0              0     1.4359e-15              0              0              0     5.8797e-15
    0.0024     1.3975e-15      1.261e-26              0              0     1.3975e-15              0              0              0     7.4546e-15
    0.0026     1.1864e-15     1.5958e-26              0              0     1.1864e-15              0              0              0     9.3514e-15
    0.0028     8.1361e-16     1.9904e-26              0              0     8.1361e-16              0              0              0     1.1491e-14
     0.003     3.0344e-16     2.4506e-26              0              0     3.0344e-16              0              0              0     1.3768e-14
    0.0032    -3.0684e-16      2.982e-26              0              0    -3.0684e-16              0              0              0     1.6053e-14
    0.0034    -9.6824e-16     3.5898e-26              0              0    -9.6824e-16              0              0              0     1.8198e-14
    0.0036    -1.6223e-15     4.2791e-26              0              0    -1.6223e-15              0              0              0     2.0046e-14
    0.0038     -2.204e-15     5.0541e-26              0              0     -2.204e-15              0              0              0     2.1444e-14
     0.004     -2.646e-15     5.9185e-26              0              0     -2.646e-15              0              0              0     2.2249e-14
