%     time            T11            T12            T13            T21            T22            T23            T31            T32            T33
         0     3.6562e-06     2.6275e-07     3.6504e-06     1.9764e-06     1.3137e-07      1.805e-06     -7.108e-17      7.363e-18    -2.9513e-16
    0.0003     2.8311e-06     5.3168e-07     5.1349e-06     1.5568e-06     2.6584e-07     2.5365e-06    -1.4369e-17     7.2123e-18    -2.3669e-16
    0.0006     1.7269e-06     7.5016e-07     6.2225e-06     1.0014e-06     3.7508e-07     3.0659e-06     4.8714e-17     7.0461e-18    -1.8868e-16
    0.0009     4.4126e-07     8.9814e-07     6.8147e-06      3.596e-07     4.4907e-07     3.3455e-06     1.1766e-16     6.8637e-18     -1.514e-16
    0.0012     -9.114e-07     9.6178e-07     6.8573e-06    -3.1144e-07     4.8089e-07     3.3493e-06      1.917e-16      6.665e-18    -1.2458e-16
    0.0015    -2.2104e-06      9.348e-07      6.345e-06    -9.5174e-07      4.674e-07     3.0764e-06     2.6983e-16     6.4499e-18    -1.0746e-16
    0.0018    -3.3396e-06     8.1899e-07     5.3222e-06    -1.5039e-06     4.0949e-07     2.5505e-06      3.508e-16     6.2188e-18    -9.8799e-17
    0.0021    -4.1976e-06     6.2412e-07     3.8793e-06    -1.9183e-06     3.1206e-07     1.8179e-06     4.3314e-16     5.9728e-18    -9.7029e-17
    0.0024     -4.707e-06     3.6707e-07     2.1444e-06    -2.1575e-06     1.8353e-07     9.4384e-07      5.152e-16     5.7133e-18    -1.0031e-16
    0.0027    -4.8217e-06      7.034e-08     2.7221e-07    -2.1996e-06      3.517e-08     6.1682e-09      5.952e-16     5.4429e-18    -1.0664e-16
     0.003    -4.5303e-06    -2.3994e-07    -1.5698e-06    -2.0403e-06    -1.1997e-07    -9.1124e-07     6.7128e-16     5.1649e-18    -1.1403e-16
    0.0033    -3.8584e-06    -5.3635e-07    -3.2163e-06    -1.6935e-06    -2.6817e-07    -1.7261e-06     7.4156e-16     4.8833e-18    -1.2054e-16
    0.0036    -2.8653e-06    -7.9262e-07    -4.5194e-06    -1.1897e-06    -3.9631e-07    -2.3652e-06      8.042e-16      4.603e-18    -1.2443e-16
    0.0039    -1.6394e-06    -9.8601e-07    -5.3611e-06    -5.7379e-07    -4.9301e-07    -2.7706e-06     8.5749e-16     4.3296e-18    -1.2428e-16
    0.0042    -2.9031e-07    -1.0993e-06    -5.6647e-06     9.9318e-08    -5.4967e-07    -2.9055e-06     8.9991e-16     4.0692e-18    -1.1899e-16
    0.0045      1.061e-06    -1.1226e-06    -5.4016e-06     7.6933e-07    -5.6128e-07     -2.757e-06     9.3018e-16     3.8282e-18     -1.079e-16
    0.0048     2.2932e-06    -1.0536e-06    -4.5935e-06     1.3761e-06    -5.2682e-07    -2.3376e-06     9.4732e-16      3.613e-18    -9.0797e-17
    0.0051     3.2949e-06    -8.9885e-07    -3.3115e-06     1.8649e-06    -4.4942e-07    -1.6842e-06     9.5072e-16     3.4299e-18    -6.7883e-17
    0.0054     3.9754e-06    -6.7211e-07     -1.669e-06     2.1915e-06    -3.3606e-07    -8.5472e-07     9.4016e-16     3.2846e-18    -3.9793e-17
    0.0057     4.2724e-06     -3.939e-07     1.8767e-07      2.326e-06    -1.9695e-07     7.7013e-08     9.1582e-16     3.1822e-18    -7.5258e-18
     0.006     4.1577e-06    -8.9329e-08     2.0928e-06     2.2558e-06    -4.4665e-08     1.0277e-06      8.783e-16     3.1266e-18     2.7625e-17
    0.0063       3.64e-06     2.1402e-07     3.8758e-06     1.9862e-06     1.0701e-07     1.9122e-06      8.286e-16     3.1204e-18     6.4154e-17
    0.0066     2.7641e-06     4.8861e-07     5.3763e-06     1.5409e-06      2.443e-07     2.6509e-06     7.6809e-16     3.1648e-18     1.0044e-16
    0.0069     1.6072e-06     7.0937e-07     6.4591e-06     9.5909e-07     3.5469e-07     3.1772e-06     6.9848e-16     3.2592e-18     1.3486e-16
    0.0072     2.7168e-07     8.5601e-07     7.0257e-06     2.9239e-07       4.28e-07     3.4432e-06     6.2173e-16     3.4016e-18     1.6586e-16
    0.0075    -1.1236e-06     9.1477e-07      7.024e-06    -3.9978e-07     4.5738e-07     3.4242e-06     5.4004e-16     3.5881e-18     1.9209e-16
    0.0078    -2.4541e-06     8.7976e-07     6.4521e-06    -1.0556e-06     4.3988e-07      3.121e-06     4.5571e-16     3.8132e-18     2.1247e-16
