%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
         0     2.0298e-13              0    -1.5109e-14              0     9.1982e-14              0     1.5109e-14              0     6.9747e-14
    0.0003     1.9429e-13              0     -2.318e-14              0     8.8622e-14              0      2.318e-14              0      5.242e-14
    0.0006     1.8776e-13              0    -3.3902e-14              0     8.4527e-14              0     3.3902e-14              0     3.9129e-14
    0.0009     1.8388e-13              0    -4.6337e-14              0     7.9889e-14              0     4.6337e-14              0     3.0888e-14
    0.0012      1.829e-13              0    -5.9392e-14              0     7.4948e-14              0     5.9392e-14              0     2.8261e-14
    0.0015     1.8483e-13              0    -7.1916e-14              0     6.9977e-14              0     7.1916e-14              0     3.1316e-14
    0.0018     1.8938e-13              0    -8.2803e-14              0     6.5252e-14              0     8.2803e-14              0      3.961e-14
    0.0021     1.9607e-13              0     -9.109e-14              0     6.1033e-14              0      9.109e-14              0     5.2234e-14
    0.0024     2.0422e-13              0    -9.6045e-14              0     5.7536e-14              0     9.6045e-14              0      6.789e-14
    0.0027     2.1298e-13              0    -9.7235e-14              0     5.4915e-14              0     9.7235e-14              0     8.5005e-14
     0.003      2.215e-13              0    -9.4562e-14              0      5.325e-14              0     9.4562e-14              0     1.0188e-13
    0.0033     2.2891e-13              0    -8.8273e-14              0     5.2535e-14              0     8.8273e-14              0     1.1681e-13
    0.0036     2.3446e-13              0    -7.8942e-14              0     5.2685e-14              0     7.8942e-14              0     1.2831e-13
    0.0039     2.3755e-13              0    -6.7418e-14              0     5.3537e-14              0     6.7418e-14              0     1.3515e-13
    0.0042     2.3781e-13              0    -5.4749e-14              0     5.4869e-14              0     5.4749e-14              0     1.3654e-13
    0.0045     2.3513e-13              0    -4.2087e-14              0     5.6415e-14              0     4.2087e-14              0     1.3217e-13
    0.0048     2.2965e-13              0     -3.059e-14              0     5.7895e-14              0      3.059e-14              0     1.2227e-13
    0.0051     2.2177e-13              0    -2.1313e-14              0     5.9035e-14              0     2.1313e-14              0     1.0754e-13
    0.0054     2.1211e-13              0    -1.5118e-14              0     5.9594e-14              0     1.5118e-14              0     8.9121e-14
    0.0057     2.0146e-13              0     -1.259e-14              0     5.9383e-14              0      1.259e-14              0     6.8511e-14
     0.006     1.9068e-13              0    -1.3991e-14              0     5.8286e-14              0     1.3991e-14              0     4.7392e-14
    0.0063     1.8067e-13              0     -1.923e-14              0      5.627e-14              0      1.923e-14              0     2.7504e-14
    0.0066     1.7225e-13              0    -2.7873e-14              0     5.3384e-14              0     2.7873e-14              0     1.0485e-14
    0.0069     1.6612e-13              0     -3.918e-14              0      4.976e-14              0      3.918e-14              0     -2.276e-15
    0.0072     1.6275e-13              0    -5.2171e-14              0       4.56e-14              0     5.2171e-14              0     -9.767e-15
    0.0075     1.6239e-13              0    -6.5712e-14              0     4.1155e-14              0     6.5712e-14              0    -1.1441e-14
    0.0078     1.6502e-13              0    -7.8617e-14              0     3.6709e-14              0     7.8617e-14              0    -7.2698e-15
    0.0081     1.7034e-13              0    -8.9755e-14              0     3.2546e-14              0     8.9755e-14              0     2.2561e-15
    0.0084     1.7783e-13              0     -9.815e-14              0     2.8932e-14              0      9.815e-14              0     1.6166e-14
    0.0087     1.8675e-13              0    -1.0307e-13              0     2.6085e-14              0     1.0307e-13              0     3.3097e-14
     0.009     1.9625e-13              0    -1.0409e-13              0     2.4159e-14              0     1.0409e-13              0     5.1415e-14
