%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
         0     -0.0027582             -0     -0.0011085             -0      0.0003135             -0     -0.0011085             -0    -0.00039106
         1     -0.0027608              0      -0.001109              0     0.00031327              0      -0.001109              0    -0.00039114
         2     -0.0027765              0      -0.001112              0     0.00031249              0      -0.001112              0    -0.00039218
         3     -0.0028122              0     -0.0011192              0     0.00031238              0     -0.0011192              0    -0.00039597
         4     -0.0028686              0     -0.0011319              0     0.00031505              0     -0.0011319              0    -0.00040406
         5     -0.0029424              0     -0.0011513              0      0.0003225              0     -0.0011513              0      -0.000417
         6     -0.0030286              0     -0.0011781              0     0.00033599              0     -0.0011781              0    -0.00043411
         7     -0.0031217              0     -0.0012129              0     0.00035583              0     -0.0012129              0     -0.0004538
         8     -0.0032169              0     -0.0012552              0     0.00038148              0     -0.0012552              0    -0.00047413
         9     -0.0033103              0     -0.0013043              0     0.00041184              0     -0.0013043              0    -0.00049337
        10     -0.0033991              0     -0.0013594              0     0.00044556              0     -0.0013594              0    -0.00051033
        11     -0.0034813              0     -0.0014194              0     0.00048131              0     -0.0014194              0    -0.00052441
        12     -0.0035552              0     -0.0014832              0     0.00051797              0     -0.0014832              0    -0.00053546
        13     -0.0036197              0     -0.0015501              0      0.0005546              0     -0.0015501              0    -0.00054353
        14     -0.0036739              0     -0.0016192              0     0.00059045              0     -0.0016192              0    -0.00054858
        15     -0.0037167              0     -0.0016897              0     0.00062477              0     -0.0016897              0    -0.00055035
        16     -0.0037473              0     -0.0017605              0     0.00065679              0     -0.0017605              0    -0.00054827
        17      -0.003765              0     -0.0018302              0     0.00068553              0     -0.0018302              0    -0.00054149
        18     -0.0037687              0     -0.0018971              0     0.00070985              0     -0.0018971              0    -0.00052901
        19     -0.0037579              0     -0.0019589              0     0.00072841              0     -0.0019589              0    -0.00050984
        20     -0.0037317              0     -0.0020133              0     0.00073972              0     -0.0020133              0    -0.00048318
        21     -0.0036895              0     -0.0020577              0     0.00074223              0     -0.0020577              0    -0.00044852
        22     -0.0036306              0     -0.0020891              0     0.00073442              0     -0.0020891              0     -0.0004058
        23     -0.0035542              0     -0.0021051              0     0.00071488              0     -0.0021051              0     -0.0003554
        24     -0.0034599              0     -0.0021031              0      0.0006824              0     -0.0021031              0    -0.00029816
        25     -0.0033469              0      -0.002081              0     0.00063598              0      -0.002081              0     -0.0002353
        26     -0.0032145              0     -0.0020371              0     0.00057491              0     -0.0020371              0    -0.00016835
        27      -0.003062              0       -0.00197              0     0.00049879              0       -0.00197              0    -9.8994e-05
        28      -0.002889              0      -0.001879              0     0.00040746              0      -0.001879              0     -2.897e-05
        29     -0.0026949              0     -0.0017636              0     0.00030105              0     -0.0017636              0     4.0024e-05
        30     -0.0024793              0     -0.0016239              0     0.00017995              0     -0.0016239              0     0.00010639
        31      -0.002242              0     -0.0014601              0     4.4784e-05              0     -0.0014601              0     0.00016868
        32      -0.001983              0     -0.0012728              0    -0.00010361              0     -0.0012728              0     0.00022553
        33     -0.0017023              0     -0.0010628              0    -0.00026418              0     -0.0010628              0     0.00027569
        34        -0.0014              0    -0.00083123              0    -0.00043566              0    -0.00083123              0     0.00031793
        35     -0.0010766              0    -0.00057946              0    -0.00061658              0    -0.00057946              0     0.00035106
        36    -0.00073226              0    -0.00030912              0    -0.00080528              0    -0.00030912              0     0.00037388
        37    -0.00036768              0    -2.2203e-05              0    -0.00099992              0    -2.2203e-05              0     0.00038523
        38      1.649e-05              0     0.00027895              0     -0.0011985              0     0.00027895              0     0.00038403
        39     0.00041933              0     0.00059165              0     -0.0013988              0     0.00059165              0     0.00036938
        40     0.00083968              0      0.0009129              0     -0.0015985              0      0.0009129              0     0.00034057
        41       0.001276              0      0.0012394              0     -0.0017953              0      0.0012394              0     0.00029724
        42      0.0017266              0      0.0015678              0     -0.0019866              0      0.0015678              0     0.00023934
        43      0.0021892              0      0.0018945              0       -0.00217              0      0.0018945              0     0.00016723
        44      0.0026613              0      0.0022159              0     -0.0023429              0      0.0022159              0      8.164e-05
        45        0.00314              0      0.0025287              0      -0.002503              0      0.0025287              0     -1.637e-05
        46      0.0036224              0      0.0028294              0     -0.0026478              0      0.0028294              0    -0.00012542
        47      0.0041049              0      0.0031151              0      -0.002775              0      0.0031151              0    -0.00024386
        48      0.0045841              0      0.0033828              0     -0.0028826              0      0.0033828              0    -0.00036986
        49      0.0050565              0      0.0036298              0     -0.0029686              0      0.0036298              0    -0.00050139
        50      0.0055181              0      0.0038538              0     -0.0030311              0      0.0038538              0    -0.00063629
        51      0.0059651              0      0.0040525              0     -0.0030685              0      0.0040525              0    -0.00077231
        52      0.0063938              0      0.0042241              0     -0.0030796              0      0.0042241              0    -0.00090704
        53      0.0068002              0       0.004367              0     -0.0030632              0       0.004367              0      -0.001038
        54      0.0071804              0      0.0044798              0     -0.0030184              0      0.0044798              0     -0.0011627
        55      0.0075307              0      0.0045616              0     -0.0029446              0      0.0045616              0     -0.0012786
        56      0.0078472              0      0.0046118              0     -0.0028416              0      0.0046118              0     -0.0013829
        57      0.0081264              0      0.0046299              0     -0.0027092              0      0.0046299              0     -0.0014731
        58      0.0083649              0      0.0046163              0     -0.0025479              0      0.0046163              0     -0.0015468
        59      0.0085597              0      0.0045714              0     -0.0023583              0      0.0045714              0     -0.0016015
        60      0.0087088              0      0.0044967              0     -0.0021422              0      0.0044967              0      -0.001635
        61      0.0088047              0       0.004388              0     -0.0018948              0       0.004388              0     -0.0016429
        62      0.0088525              0      0.0042551              0     -0.0016265              0      0.0042551              0     -0.0016282
        63      0.0088478              0      0.0040961              0     -0.0013352              0      0.0040961              0      -0.001587
        64      0.0087889              0      0.0039125              0     -0.0010227              0      0.0039125              0     -0.0015183
        65      0.0086756              0      0.0037068              0    -0.00069142              0      0.0037068              0     -0.0014212
        66      0.0085073              0      0.0034806              0    -0.00034355              0      0.0034806              0     -0.0012954
        67      0.0082847              0       0.003237              0     1.7847e-05              0       0.003237              0     -0.0011406
        68      0.0080086              0       0.002978              0     0.00039015              0       0.002978              0    -0.00095716
        69      0.0076799              0      0.0027058              0     0.00077065              0      0.0027058              0    -0.00074576
        70      0.0073011              0      0.0024235              0      0.0011557              0      0.0024235              0    -0.00050727
        71      0.0068738              0      0.0021328              0      0.0015427              0      0.0021328              0    -0.00024313
        72      0.0064017              0       0.001837              0      0.0019277              0       0.001837              0     4.5039e-05
        73      0.0058872              0      0.0015377              0      0.0023081              0      0.0015377              0      0.0003551
        74      0.0053349              0      0.0012379              0      0.0026799              0      0.0012379              0     0.00068474
        75      0.0047481              0     0.00093896              0      0.0030406              0     0.00093896              0      0.0010312
        76       0.004132              0      0.0006437              0      0.0033861              0      0.0006437              0      0.0013915
        77      0.0034911              0     0.00035361              0      0.0037137              0     0.00035361              0      0.0017623
        78      0.0028301              0     6.9921e-05              0      0.0040208              0     6.9921e-05              0      0.0021402
