%        w           SY11           SY12           SY13           SY21           SY22           SY23           SY31           SY32           SY33
         0              0    -0.00038804              0    -0.00038804              0    -4.9429e-05              0    -4.9429e-05              0
         1              0    -0.00038922              0    -0.00038922              0    -4.9899e-05              0    -4.9899e-05              0
         2              0    -0.00039663              0    -0.00039663              0     -5.251e-05              0     -5.251e-05              0
         3              0    -0.00041382              0    -0.00041382              0     -5.762e-05              0     -5.762e-05              0
         4              0    -0.00044118              0    -0.00044118              0    -6.4176e-05              0    -6.4176e-05              0
         5              0    -0.00047644              0    -0.00047644              0    -7.0633e-05              0    -7.0633e-05              0
         6              0    -0.00051568              0    -0.00051568              0    -7.5798e-05              0    -7.5798e-05              0
         7              0     -0.0005546              0     -0.0005546              0     -7.935e-05              0     -7.935e-05              0
         8              0    -0.00058939              0    -0.00058939              0    -8.1914e-05              0    -8.1914e-05              0
         9              0    -0.00061745              0    -0.00061745              0    -8.4793e-05              0    -8.4793e-05              0
        10              0    -0.00063746              0    -0.00063746              0    -8.9487e-05              0    -8.9487e-05              0
        11              0    -0.00064916              0    -0.00064916              0    -9.7188e-05              0    -9.7188e-05              0
        12              0    -0.00065289              0    -0.00065289              0     -0.0001084              0     -0.0001084              0
        13              0    -0.00064907              0    -0.00064907              0    -0.00012278              0    -0.00012278              0
        14              0     -0.0006377              0     -0.0006377              0    -0.00013919              0    -0.00013919              0
        15              0    -0.00061812              0    -0.00061812              0     -0.0001559              0     -0.0001559              0
        16              0    -0.00058896              0    -0.00058896              0    -0.00017095              0    -0.00017095              0
        17              0    -0.00054833              0    -0.00054833              0    -0.00018248              0    -0.00018248              0
        18              0    -0.00049408              0    -0.00049408              0    -0.00018894              0    -0.00018894              0
        19              0     -0.0004242              0     -0.0004242              0    -0.00018931              0    -0.00018931              0
        20              0    -0.00033708              0    -0.00033708              0    -0.00018306              0    -0.00018306              0
        21              0    -0.00023182              0    -0.00023182              0    -0.00017006              0    -0.00017006              0
        22              0    -0.00010827              0    -0.00010827              0    -0.00015046              0    -0.00015046              0
        23              0      3.295e-05              0      3.295e-05              0     -0.0001245              0     -0.0001245              0
        24              0     0.00019058              0     0.00019058              0    -9.2353e-05              0    -9.2353e-05              0
        25              0      0.0003629              0      0.0003629              0    -5.4067e-05              0    -5.4067e-05              0
        26              0     0.00054792              0     0.00054792              0    -9.5422e-06              0    -9.5422e-06              0
        27              0     0.00074349              0     0.00074349              0     4.1418e-05              0     4.1418e-05              0
        28              0     0.00094746              0     0.00094746              0     9.9008e-05              0     9.9008e-05              0
        29              0      0.0011577              0      0.0011577              0      0.0001633              0      0.0001633              0
        30              0       0.001372              0       0.001372              0     0.00023416              0     0.00023416              0
        31              0      0.0015881              0      0.0015881              0     0.00031115              0     0.00031115              0
        32              0      0.0018036              0      0.0018036              0      0.0003935              0      0.0003935              0
        33              0       0.002016              0       0.002016              0     0.00048013              0     0.00048013              0
        34              0      0.0022224              0      0.0022224              0     0.00056971              0     0.00056971              0
        35              0      0.0024197              0      0.0024197              0     0.00066068              0     0.00066068              0
        36              0      0.0026046              0      0.0026046              0     0.00075136              0     0.00075136              0
        37              0      0.0027736              0      0.0027736              0     0.00084003              0     0.00084003              0
        38              0      0.0029233              0      0.0029233              0     0.00092493              0     0.00092493              0
        39              0      0.0030503              0      0.0030503              0      0.0010044              0      0.0010044              0
        40              0      0.0031513              0      0.0031513              0      0.0010767              0      0.0010767              0
        41              0      0.0032231              0      0.0032231              0      0.0011402              0      0.0011402              0
        42              0       0.003263              0       0.003263              0      0.0011935              0      0.0011935              0
        43              0      0.0032685              0      0.0032685              0      0.0012349              0      0.0012349              0
        44              0      0.0032374              0      0.0032374              0      0.0012631              0      0.0012631              0
        45              0       0.003168              0       0.003168              0      0.0012768              0      0.0012768              0
        46              0      0.0030588              0      0.0030588              0      0.0012745              0      0.0012745              0
        47              0      0.0029088              0      0.0029088              0      0.0012552              0      0.0012552              0
        48              0      0.0027174              0      0.0027174              0       0.001218              0       0.001218              0
        49              0      0.0024844              0      0.0024844              0      0.0011621              0      0.0011621              0
        50              0      0.0022101              0      0.0022101              0       0.001087              0       0.001087              0
        51              0      0.0018953              0      0.0018953              0     0.00099252              0     0.00099252              0
        52              0      0.0015413              0      0.0015413              0     0.00087864              0     0.00087864              0
        53              0        0.00115              0        0.00115              0     0.00074574              0     0.00074574              0
        54              0     0.00072376              0     0.00072376              0     0.00059446              0     0.00059446              0
        55              0     0.00026553              0     0.00026553              0     0.00042576              0     0.00042576              0
        56              0    -0.00022123              0    -0.00022123              0     0.00024086              0     0.00024086              0
        57              0    -0.00073255              0    -0.00073255              0     4.1228e-05              0     4.1228e-05              0
        58              0     -0.0012641              0     -0.0012641              0    -0.00017153              0    -0.00017153              0
        59              0     -0.0018112              0     -0.0018112              0    -0.00039599              0    -0.00039599              0
        60              0     -0.0023693              0     -0.0023693              0    -0.00063103              0    -0.00063103              0
        61              0       -0.00292              0       -0.00292              0    -0.00083514              0    -0.00083514              0
        62              0     -0.0034797              0     -0.0034797              0     -0.0010773              0     -0.0010773              0
        63              0     -0.0040318              0     -0.0040318              0     -0.0013196              0     -0.0013196              0
        64              0     -0.0045702              0     -0.0045702              0     -0.0015608              0     -0.0015608              0
        65              0     -0.0050885              0     -0.0050885              0     -0.0017964              0     -0.0017964              0
        66              0     -0.0055803              0     -0.0055803              0     -0.0020249              0     -0.0020249              0
        67              0     -0.0060393              0     -0.0060393              0     -0.0022415              0     -0.0022415              0
        68              0     -0.0064592              0     -0.0064592              0     -0.0024442              0     -0.0024442              0
        69              0     -0.0068341              0     -0.0068341              0     -0.0026305              0     -0.0026305              0
