%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
         0    -0.00076262             -0    -0.00047764             -0    -0.00028038             -0    -0.00047764             -0    -0.00017973
         1    -0.00077158              0    -0.00047782              0    -0.00028944              0    -0.00047782              0    -0.00018146
         2     -0.0007907              0    -0.00048032              0    -0.00030974              0    -0.00048032              0    -0.00019201
         3    -0.00080868              0    -0.00048962              0    -0.00033119              0    -0.00048962              0    -0.00021521
         4     -0.0008172              0    -0.00051021              0    -0.00034534              0    -0.00051021              0    -0.00024909
         5    -0.00081221              0    -0.00054432              0    -0.00034631              0    -0.00054432              0    -0.00028741
         6    -0.00079337              0    -0.00059097              0    -0.00033105              0    -0.00059097              0    -0.00032235
         7    -0.00076257              0    -0.00064617              0    -0.00029896              0    -0.00064617              0    -0.00034716
         8    -0.00072227              0    -0.00070428              0    -0.00025113              0    -0.00070428              0    -0.00035796
         9    -0.00067433              0    -0.00075961              0    -0.00018965              0    -0.00075961              0    -0.00035411
        10    -0.00061979              0    -0.00080791              0    -0.00011689              0    -0.00080791              0    -0.00033755
        11    -0.00055923              0    -0.00084704              0    -3.5121e-05              0    -0.00084704              0    -0.00031126
        12    -0.00049353              0    -0.00087689              0     5.3641e-05              0    -0.00087689              0    -0.00027766
        13    -0.00042461              0    -0.00089858              0     0.00014762              0    -0.00089858              0    -0.00023748
        14     -0.0003558              0    -0.00091329              0     0.00024513              0    -0.00091329              0    -0.00018923
        15    -0.00029171              0    -0.00092123              0     0.00034437              0    -0.00092123              0    -0.00012962
        16    -0.00023772              0    -0.00092091              0     0.00044336              0    -0.00092091              0    -5.4445e-05
        17    -0.00019913              0    -0.00090896              0     0.00053984              0    -0.00090896              0     4.0247e-05
        18    -0.00018038              0    -0.00088056              0     0.00063137              0    -0.00088056              0     0.00015704
        19    -0.00018444              0    -0.00083018              0     0.00071539              0    -0.00083018              0     0.00029644
        20    -0.00021249              0    -0.00075253              0     0.00078942              0    -0.00075253              0      0.0004566
        21      -0.000264              0    -0.00064344              0     0.00085118              0    -0.00064344              0     0.00063361
        22    -0.00033709              0     -0.0005004              0     0.00089874              0     -0.0005004              0     0.00082208
        23    -0.00042898              0     -0.0003229              0     0.00093055              0     -0.0003229              0      0.0010159
        24    -0.00053656              0    -0.00011227              0     0.00094555              0    -0.00011227              0       0.001209
        25    -0.00065674              0     0.00012865              0     0.00094306              0     0.00012865              0      0.0013958
        26    -0.00078666              0     0.00039598              0     0.00092286              0     0.00039598              0      0.0015719
        27    -0.00092376              0     0.00068531              0     0.00088503              0     0.00068531              0      0.0017334
        28     -0.0010656              0     0.00099208              0     0.00082999              0     0.00099208              0      0.0018775
        29     -0.0012097              0      0.0013118              0     0.00075841              0      0.0013118              0      0.0020016
        30     -0.0013531              0        0.00164              0      0.0006712              0        0.00164              0      0.0021033
        31     -0.0014926              0      0.0019725              0     0.00056947              0      0.0019725              0        0.00218
        32     -0.0016244              0      0.0023045              0     0.00045455              0      0.0023045              0      0.0022292
        33     -0.0017441              0      0.0026312              0     0.00032797              0      0.0026312              0      0.0022477
