%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
         0              0              0              0              0              0              0              0              0              0
         1    -5.9914e-11              0     1.5798e-12              0    -5.9894e-11              0    -1.6767e-12             -0    -6.9275e-11
         2    -1.1778e-10              0     5.8801e-12              0     -1.176e-10              0     -6.632e-12             -0    -1.3862e-10
         3    -1.7328e-10              0     1.2247e-11              0    -1.7263e-10              0    -1.4702e-11             -0    -2.0697e-10
         4    -2.2617e-10              0     2.0043e-11              0    -2.2454e-10              0    -2.5661e-11             -0    -2.7326e-10
         5    -2.7626e-10              0     2.8657e-11              0     -2.729e-10              0    -3.9227e-11             -0    -3.3648e-10
         6    -3.2338e-10              0     3.7515e-11              0    -3.1729e-10              0     -5.507e-11             -0    -3.9563e-10
         7    -3.6742e-10              0     4.6089e-11              0    -3.5736e-10              0    -7.2822e-11             -0     -4.498e-10
         8    -4.0829e-10              0     5.3902e-11              0    -3.9278e-10              0    -9.2084e-11             -0    -4.9813e-10
         9    -4.4594e-10              0     6.0537e-11              0    -4.2326e-10              0    -1.1244e-10             -0    -5.3985e-10
        10    -4.8034e-10              0     6.5638e-11              0    -4.4855e-10              0    -1.3344e-10             -0    -5.7431e-10
        11    -5.1146e-10              0     6.8914e-11              0    -4.6846e-10              0    -1.5467e-10             -0    -6.0096e-10
        12    -5.3931e-10              0     7.0141e-11              0    -4.8283e-10              0    -1.7569e-10             -0    -6.1935e-10
        13    -5.6389e-10              0     6.9163e-11              0    -4.9157e-10              0    -1.9608e-10             -0    -6.2917e-10
        14    -5.8522e-10              0     6.5889e-11              0    -4.9463e-10              0    -2.1543e-10             -0    -6.3023e-10
        15    -6.0332e-10              0     6.0294e-11              0      -4.92e-10              0    -2.3339e-10             -0    -6.2249e-10
        16    -6.1822e-10              0      5.241e-11              0    -4.8374e-10              0    -2.4961e-10             -0      -6.06e-10
        17    -6.2993e-10              0     4.2331e-11              0    -4.6997e-10              0    -2.6378e-10             -0    -5.8097e-10
        18     -6.385e-10              0     3.0199e-11              0    -4.5083e-10              0    -2.7564e-10             -0    -5.4772e-10
        19    -6.4393e-10              0     1.6204e-11              0    -4.2655e-10              0    -2.8499e-10             -0    -5.0669e-10
        20    -6.4628e-10              0     5.7923e-13              0    -3.9737e-10              0    -2.9165e-10             -0    -4.5844e-10
        21    -6.4555e-10              0    -1.6411e-11              0    -3.6362e-10              0     -2.955e-10             -0    -4.0361e-10
        22     -6.418e-10              0    -3.4471e-11              0    -3.2563e-10              0    -2.9647e-10             -0    -3.4295e-10
        23    -6.3504e-10              0    -5.3288e-11              0    -2.8381e-10              0    -2.9454e-10             -0    -2.7729e-10
        24    -6.2532e-10              0    -7.2531e-11              0    -2.3859e-10              0    -2.8974e-10             -0    -2.0751e-10
        25    -6.1269e-10              0    -9.1863e-11              0    -1.9043e-10              0    -2.8214e-10             -0    -1.3458e-10
        26    -5.9719e-10              0    -1.1095e-10              0    -1.3984e-10              0    -2.7186e-10             -0    -5.9462e-11
        27    -5.7888e-10              0    -1.2945e-10              0    -8.7331e-11              0    -2.5904e-10             -0     1.6811e-11
        28    -5.5784e-10              0    -1.4705e-10              0    -3.3457e-11              0    -2.4389e-10             -0     9.3216e-11
        29    -5.3413e-10             -0    -1.6344e-10             -0     2.1224e-11              0    -2.2662e-10             -0     1.6873e-10
        30    -5.0787e-10             -0    -1.7834e-10             -0     7.6143e-11              0    -2.0749e-10             -0     2.4234e-10
        31    -4.7914e-10             -0     -1.915e-10             -0     1.3072e-10              0    -1.8676e-10             -0     3.1306e-10
        32    -4.4807e-10             -0    -2.0267e-10             -0     1.8439e-10              0    -1.6474e-10             -0     3.7996e-10
        33     -4.148e-10             -0    -2.1167e-10             -0     2.3658e-10              0    -1.4171e-10             -0     4.4216e-10
        34    -3.7947e-10             -0    -2.1835e-10             -0     2.8674e-10              0      -1.18e-10             -0     4.9884e-10
        35    -3.4224e-10             -0    -2.2256e-10             -0     3.3432e-10              0    -9.3905e-11             -0     5.4926e-10
        36    -3.0331e-10             -0    -2.2424e-10             -0     3.7882e-10              0    -6.9738e-11             -0     5.9277e-10
        37    -2.6286e-10             -0    -2.2334e-10             -0     4.1975e-10              0    -4.5798e-11             -0     6.2881e-10
        38     -2.211e-10             -0    -2.1984e-10             -0     4.5667e-10              0    -2.2371e-11             -0     6.5693e-10
        39    -1.7827e-10             -0    -2.1379e-10             -0     4.8915e-10              0      2.708e-13              0     6.7677e-10
        40    -1.3458e-10             -0    -2.0524e-10             -0     5.1683e-10              0     2.1878e-11              0     6.8809e-10
        41    -9.0294e-11             -0    -1.9431e-10             -0     5.3939e-10              0     4.2225e-11              0     6.9076e-10
        42    -4.5663e-11             -0    -1.8112e-10             -0     5.5657e-10              0      6.111e-11              0     6.8475e-10
        43    -9.5219e-13             -0    -1.6585e-10             -0     5.6813e-10              0      7.836e-11              0     6.7017e-10
        44     4.3571e-11              0    -1.4868e-10              0     5.7392e-10              0     9.3835e-11              0     6.4721e-10
        45     8.7634e-11              0    -1.2984e-10              0     5.7384e-10              0     1.0742e-10              0     6.1618e-10
        46     1.3096e-10              0    -1.0955e-10              0     5.6785e-10              0     1.1905e-10              0     5.7748e-10
        47     1.7329e-10              0    -8.8063e-11              0     5.5596e-10              0     1.2866e-10              0     5.3162e-10
        48     2.1434e-10              0    -6.5652e-11              0     5.3825e-10              0     1.3624e-10              0     4.7919e-10
        49     2.5385e-10              0    -4.2584e-11              0     5.1485e-10              0     1.4182e-10              0     4.2084e-10
        50     2.9158e-10              0    -1.9136e-11              0     4.8597e-10              0     1.4543e-10              0     3.5731e-10
        51     3.2727e-10              0     4.4161e-12              0     4.5186e-10              0     1.4715e-10              0     2.8941e-10
        52      3.607e-10              0     2.7798e-11              0     4.1283e-10              0     1.4708e-10              0     2.1797e-10
        53     3.9165e-10              0     5.0745e-11              0     3.6923e-10              0     1.4534e-10              0     1.4387e-10
        54     4.1992e-10              0        7.3e-11              0     3.2148e-10              0     1.4208e-10              0     6.8015e-11
        55     4.4534e-10              0      9.432e-11              0     2.7003e-10              0     1.3746e-10              0     -8.664e-12
        56     4.6776e-10              0     1.1448e-10              0     2.1537e-10              0     1.3165e-10              0    -8.5248e-11
        57     4.8703e-10              0     1.3327e-10              0     1.5804e-10              0     1.2485e-10              0    -1.6083e-10
        58     5.0304e-10              0     1.5051e-10              0     9.8567e-11              0     1.1724e-10              0    -2.3455e-10
        59     5.1572e-10              0     1.6603e-10              0     3.7522e-11              0     1.0903e-10              0    -3.0557e-10
        60     5.2499e-10              0     1.7975e-10              0    -2.4432e-11              0     1.0043e-10              0    -3.7291e-10
        61     5.3082e-10              0     1.9121e-10              0    -8.3914e-11              0     9.1719e-11              0    -4.3089e-10
        62     5.3323e-10              0     2.0085e-10              0    -1.4577e-10              0      8.291e-11              0    -4.8864e-10
        63     5.3221e-10              0     2.0839e-10              0     -2.066e-10              0      7.429e-11              0    -5.4043e-10
        64     5.2782e-10              0     2.1377e-10              0    -2.6597e-10              0     6.6025e-11              0    -5.8611e-10
        65     5.2013e-10              0     2.1701e-10              0    -3.2308e-10              0     5.8288e-11              0    -6.2474e-10
        66     5.0922e-10              0      2.181e-10              0    -3.7755e-10              0     5.1217e-11              0    -6.5634e-10
        67     4.9524e-10              0     2.1711e-10              0    -4.2862e-10              0     4.4954e-11              0    -6.8017e-10
        68     4.7831e-10              0     2.1409e-10              0    -4.7586e-10              0     3.9603e-11              0    -6.9619e-10
        69      4.586e-10              0     2.0912e-10              0    -5.1887e-10              0     3.5248e-11              0     -7.045e-10
        70      4.363e-10              0     2.0233e-10              0      -5.57e-10              0     3.1972e-11              0    -7.0461e-10
        71     4.1162e-10              0     1.9383e-10              0    -5.9005e-10              0     2.9809e-11              0    -6.9699e-10
        72     3.8477e-10              0     1.8378e-10              0    -6.1746e-10              0     2.8794e-11              0    -6.8136e-10
        73     3.5599e-10              0     1.7231e-10              0    -6.3912e-10              0     2.8918e-11              0    -6.5837e-10
        74     3.2553e-10              0     1.5962e-10              0     -6.546e-10              0     3.0173e-11              0    -6.2791e-10
        75     2.9363e-10              0     1.4586e-10              0    -6.6389e-10              0     3.2505e-11              0    -5.9079e-10
        76     2.6059e-10              0     1.3124e-10              0     -6.667e-10              0     3.5863e-11              0    -5.4705e-10
        77     2.2666e-10              0     1.1593e-10              0    -6.6305e-10              0      4.016e-11              0    -4.9744e-10
        78      1.921e-10              0     1.0011e-10              0    -6.5305e-10              0     4.5292e-11              0    -4.4277e-10
        79      1.572e-10              0     8.3993e-11              0    -6.3657e-10              0     5.1156e-11              0    -3.8327e-10
        80     1.2223e-10              0     6.7741e-11              0    -6.1394e-10              0      5.761e-11              0    -3.2005e-10
        81     8.7462e-11              0     5.1565e-11              0    -5.8517e-10              0     6.4526e-11              0    -2.5343e-10
        82     5.3144e-11              0     3.5608e-11              0    -5.5069e-10              0     7.1743e-11              0    -1.8458e-10
