%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
         0     7.2341e-10              0    -8.9579e-12              0     5.0324e-10             -0     1.9277e-10              0     6.0554e-10
         1     7.1624e-10              0    -1.0236e-11              0     4.9599e-10              0     1.9433e-10              0     5.9709e-10
         2       7.06e-10              0    -1.2813e-11              0     4.8507e-10              0     1.9867e-10              0     5.8648e-10
         3     6.9185e-10              0    -1.5044e-11              0     4.6897e-10              0     2.0497e-10              0     5.7083e-10
         4     6.7349e-10              0    -1.5752e-11              0     4.4685e-10              0     2.1217e-10              0     5.4793e-10
         5     6.5099e-10              0    -1.4281e-11              0     4.1852e-10              0     2.1918e-10              0     5.1649e-10
         6     6.2466e-10              0    -1.0425e-11              0     3.8433e-10              0     2.2499e-10              0     4.7614e-10
         7      5.949e-10              0    -4.3043e-12              0     3.4496e-10              0     2.2883e-10              0     4.2733e-10
         8     5.6214e-10              0     3.7849e-12              0      3.013e-10              0     2.3015e-10              0     3.7105e-10
         9      5.268e-10              0     1.3492e-11              0     2.5424e-10              0     2.2866e-10              0     3.0865e-10
        10     4.8924e-10              0      2.449e-11              0     2.0465e-10              0     2.2424e-10              0     2.4155e-10
        11     4.4981e-10              0       3.65e-11              0     1.5326e-10              0     2.1691e-10              0      1.711e-10
        12      4.088e-10              0     4.9288e-11              0     1.0067e-10              0     2.0678e-10              0     9.8493e-11
        13     3.6649e-10              0     6.2629e-11              0     4.7409e-11              0     1.9399e-10              0     2.4746e-11
        14     3.2312e-10              0     7.6277e-11              0    -6.0914e-12              0     1.7873e-10              0    -4.9266e-11
        15      2.789e-10              0     8.9941e-11              0    -5.9407e-11              0     1.6116e-10              0    -1.2275e-10
        16     2.3403e-10              0     1.0328e-10              0    -1.1211e-10              0     1.4148e-10              0    -1.9492e-10
        17      1.887e-10              0     1.1591e-10              0    -1.6373e-10              0     1.1991e-10              0    -2.6498e-10
        18     1.4307e-10              0     1.2744e-10              0    -2.1379e-10              0     9.6681e-11              0    -3.3205e-10
        19     9.7322e-11              0     1.3748e-10              0    -2.6175e-10              0     7.2055e-11              0    -3.9522e-10
        20     5.1612e-11              0     1.4568e-10              0    -3.0708e-10              0     4.6328e-11              0    -4.5357e-10
        21     6.1017e-12              0     1.5176e-10              0    -3.4925e-10              0     1.9823e-11              0    -5.0617e-10
        22    -3.9047e-11              0      1.555e-10              0    -3.8775e-10              0    -7.1125e-12              0    -5.5217e-10
        23    -8.3671e-11              0     1.5677e-10              0    -4.2213e-10              0    -3.4114e-11              0    -5.9085e-10
        24     -1.276e-10              0     1.5549e-10              0    -4.5199e-10              0    -6.0814e-11              0    -6.2157e-10
        25    -1.7068e-10              0     1.5166e-10              0    -4.7698e-10              0    -8.6848e-11              0    -6.4387e-10
        26    -2.1271e-10              0     1.4531e-10              0    -4.9683e-10              0    -1.1187e-10              0    -6.5746e-10
